SModelS_status Analysis Disp MT_displaced_xsec THSCPM1b Tx Tx_weights file r_max m(N1) m(H+) ctau(H+) BR(H+)
Excluded ATLAS-SUSY-2016-32 0.0 24.316 163.78669203149593 THSCPM1b "{'THSCPM1b': 163.78669203149593}" IDM_mhc_180_mn1_0.00050118_dm_5_la2_0.01_laL_0.01_.slha.py 163.786 0.0005011 180.0 83.26 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.2705 202.93162844261147 THSCPM1b "{'THSCPM1b': 202.93162844261147}" IDM_mhc_180_mn1_0.050118_dm_5_la2_0.01_laL_0.01_.slha.py 202.931 0.05011 180.0 8326.032 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 0.47256968684315387 THSCPM1b "{'THSCPM1b': 0.47256968684315387}" IDM_mhc_840_mn1_0.50118_dm_5_la2_0.01_laL_0.01_.slha.py 0.4725 0.5011 840.0 3634.014 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 5.138 23.964037016301926 THSCPM1b "{'THSCPM1b': 23.964037016301926}" IDM_mhc_320_mn1_0.00079432_dm_5_la2_0.01_laL_0.01_.slha.py 23.964 0.0007943 320.0 40.353 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.6851 0.1035 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 0.6851014695158284}" IDM_mhc_740_mn1_3.981e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.6851 3.981e-05 740.0 0.3723 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 39.671 5.831 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 39.671374358415925}" IDM_mhc_340_mn1_1.2589e-06_dm_5_la2_0.01_laL_0.01_.slha.py 39.671 1.258e-06 340.0 0.05654 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 3.657 0.4906 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 3.6576736226384017}" IDM_mhc_580_mn1_1e-06_dm_5_la2_0.01_laL_0.01_.slha.py 3.657 1e-06 580.0 0.01529 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 43.370020256927255 THSCPM1b "{'THSCPM1b': 43.370020256927255}" IDM_mhc_320_mn1_0.3981_dm_5_la2_0.01_laL_0.01_.slha.py 43.37 0.3981 320.0 20238.662 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 48.559 16.849 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 48.55908851975532}" IDM_mhc_260_mn1_5.0118e-06_dm_5_la2_0.01_laL_0.01_.slha.py 48.559 5.011e-06 260.0 0.3899 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 88.737 44.615 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 88.73788402605076}" IDM_mhc_200_mn1_2.5118e-06_dm_5_la2_0.01_laL_0.01_.slha.py 88.737 2.511e-06 200.0 0.3355 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 2.567 0.2543 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 2.5670965629581834}" IDM_mhc_640_mn1_1.9952e-06_dm_5_la2_0.01_laL_0.01_.slha.py 2.567 1.995e-06 640.0 0.02497 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.02577 0.00150808407799892 THSCPM1b,THSCPM2b "{'THSCPM1b': 0.00150808407799892, 'THSCPM2b': 5.536919430968536e-07}" IDM_mhc_860_mn1_0.0003981_dm_5_la2_0.01_laL_0.01_.slha.py 0.001508 0.0003981 860.0 2.752 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 2.477 47.31533735623843 THSCPM1b "{'THSCPM1b': 47.31533735623843}" IDM_mhc_280_mn1_0.0025118_dm_5_la2_0.01_laL_0.01_.slha.py 47.315 0.002511 280.0 167.226 1[N1,mu-]
