SModelS_status Analysis MT_displaced_xsec MT_max MT_max_xsec MT_outgrid_xsec MT_prompt_xsec MT_total_xsec Tx file r_max m(N1) m(H+) ctau(H+) BR(H+)
Excluded ATLAS-SUSY-2018-14 8.575 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 4.385 0.0 0.0 7.715 TSmuSmuDisp IDM_mhc_340_mn1_5.0118e-05_dm_50_la2_0.01_laL_0.01_.slha.py 1.151 5.011e-05 340.0 2.252 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 0.5796 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.4209 0.0 0.0 0.5796 TSmuSmuDisp IDM_mhc_600_mn1_1.2589e-05_dm_50_la2_0.01_laL_0.01_.slha.py 1.022 1.258e-05 600.0 0.1793 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.0984 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.09841 0.0 0.0 0.09841 TSmuSmuDisp IDM_mhc_760_mn1_1e-05_dm_50_la2_0.01_laL_0.01_.slha.py 0.3685 1e-05 760.0 0.08848 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.1134 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.4919 0.0 0.7374 0.7374 THSCPM1b IDM_mhc_560_mn1_0.0050118_dm_50_la2_0.01_laL_0.01_.slha.py 0.8346 0.005011 560.0 82.219 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.4201 0.0 0.5785 0.5785 THSCPM1b IDM_mhc_600_mn1_0.50118_dm_50_la2_0.01_laL_0.01_.slha.py 0.8317 0.5011 600.0 7149.527 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.3134 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.2266 0.0 0.0 0.3134 TSmuSmuDisp IDM_mhc_680_mn1_5.0118e-05_dm_50_la2_0.01_laL_0.01_.slha.py 0.3585 5.011e-05 680.0 0.5558 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.01504 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_980_mn1_0.00019952_dm_50_la2_0.01_laL_0.01_.slha.py 2.222e-06 0.0001995 980.0 1.06 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.08539 0.0 0.08539 0.08539 THSCPM1b IDM_mhc_780_mn1_0.3981_dm_50_la2_0.01_laL_0.01_.slha.py 0.2473 0.3981 780.0 3350.203 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.0 0.0 0.0 THSCPM1b IDM_mhc_900_mn1_0.0079432_dm_50_la2_0.01_laL_0.01_.slha.py 0.07335 0.007943 900.0 50.21 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.01711 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_960_mn1_0.00015848_dm_50_la2_0.01_laL_0.01_.slha.py 1.713e-07 0.0001584 960.0 0.8809 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.09836 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.09841 0.0 0.0 0.09841 TSmuSmuDisp IDM_mhc_760_mn1_3.981e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.4375 3.981e-06 760.0 0.03529 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.1224 "[[],[[jet,jet]]]  (HSCP,HSCP)" 12.871 0.0 19.296 19.296 THSCPM1b,THSCPM8 IDM_mhc_260_mn1_0.025118_dm_50_la2_0.01_laL_0.01_.slha.py 16.736 0.02511 260.0 1953.732 1[N1,mu-]
