SModelS_status Analysis MT_displaced_xsec MT_max MT_max_xsec MT_outgrid_xsec MT_prompt_xsec MT_total_xsec Tx file r_max m(N1) m(H+) ctau(H+) BR(H+)
Non-excluded ATLAS-SUSY-2016-32 0.02115 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.02115 0.02027 0.0 0.02115 THSCPM1b,THSCPM2b,THSCPM9 IDM_mhc_920_mn1_5.0118e-05_dm_5_la2_0.01_laL_0.01_.slha.py 1.355e-09 5.011e-05 920.0 0.3026 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.01778 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_940_mn1_2.5118e-05_dm_5_la2_0.01_laL_0.01_.slha.py 3.859e-10 2.511e-05 940.0 0.145 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.5244 "[[],[[jet,jet]]]  (HSCP,HSCP)" 3.82 0.0 5.497 5.497 THSCPM1b,THSCPM8 IDM_mhc_380_mn1_0.0050118_dm_5_la2_0.01_laL_0.01_.slha.py 4.246 0.005011 380.0 179.388 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.04241 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.2708 0.0 0.361 0.361 THSCPM1b IDM_mhc_660_mn1_0.0063095_dm_5_la2_0.01_laL_0.01_.slha.py 0.346 0.006309 660.0 74.183 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.01523 "[[],[[jet,jet]]]  (HSCP,HSCP)" 8.283 0.0 11.923 11.923 THSCPM1b,THSCPM8 IDM_mhc_320_mn1_0.063095_dm_5_la2_0.01_laL_0.01_.slha.py 9.165 0.06309 320.0 3208.568 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 3.765 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 2.05 0.0 0.0 3.545 TSmuSmuDisp IDM_mhc_440_mn1_7.9432e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.5532 7.943e-05 440.0 2.114 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.08965 "[[],[[jet,jet]]]  (HSCP,HSCP)" 4.049 0.0 5.827 5.827 THSCPM1b,THSCPM8 IDM_mhc_380_mn1_0.019952_dm_5_la2_0.01_laL_0.01_.slha.py 4.671 0.01995 380.0 714.952 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 130.355 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 71.902 0.0 0.0 130.355 TSmuSmuDisp IDM_mhc_180_mn1_1.9952e-06_dm_5_la2_0.01_laL_0.01_.slha.py 36.031 1.995e-06 180.0 0.3322 1[N1,mu-]
Non-excluded CMS-EXO-13-006 2.809 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.6478 0.0 0.4165 1.459 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_460_mn1_0.00031622_dm_5_la2_0.01_laL_0.01_.slha.py 0.3771 0.0003162 460.0 7.708 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.1041 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.1045 0.0 0.0 0.1045 TSmuSmuDisp IDM_mhc_780_mn1_1.5848e-06_dm_5_la2_0.01_laL_0.01_.slha.py 0.2385 1.584e-06 780.0 0.01333 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.01875 "[[],[[jet,jet]]]  (HSCP,HSCP)" 2.163 0.0 3.112 3.112 THSCPM1b,THSCPM8 IDM_mhc_440_mn1_0.025118_dm_5_la2_0.01_laL_0.01_.slha.py 2.594 0.02511 440.0 668.904 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.02104 "[[],[[jet,jet]]]  (HSCP,HSCP)" 1.765 0.0 2.539 2.539 THSCPM1b,THSCPM8 IDM_mhc_460_mn1_0.019952_dm_5_la2_0.01_laL_0.01_.slha.py 2.219 0.01995 460.0 486.027 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 2.592 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 1.502 0.0 0.0 2.594 TSmuSmuDisp IDM_mhc_480_mn1_1.2589e-06_dm_5_la2_0.01_laL_0.01_.slha.py 3.814 1.258e-06 480.0 0.0281 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 1.501 0.0 2.159 2.159 THSCPM1b,THSCPM8 IDM_mhc_480_mn1_1.0_dm_5_la2_0.01_laL_0.01_.slha.py 1.937 1.0 480.0 22347.334 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 49.244 0.0 70.947 70.947 THSCPM1b,THSCPM8 IDM_mhc_200_mn1_0.50118_dm_5_la2_0.01_laL_0.01_.slha.py 47.445 0.5011 200.0 66890.496 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 8.774 "[[],[[jet,jet]]]  (HSCP,HSCP)" 4.165 0.0 5.995 7.23 THSCPM1b,THSCPM8 IDM_mhc_320_mn1_0.0003981_dm_5_la2_0.01_laL_0.01_.slha.py 3.468 0.0003981 320.0 20.238 1[N1,mu-]
Non-excluded CMS-EXO-13-006 0.4901 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.1728 0.0 0.0311 0.2613 THSCPM1b,THSCPM2b,THSCPM9 IDM_mhc_640_mn1_0.00050118_dm_5_la2_0.01_laL_0.01_.slha.py 0.02989 0.0005011 640.0 6.264 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 2.686 0.0 3.865 3.865 THSCPM1b,THSCPM8 IDM_mhc_420_mn1_0.079432_dm_5_la2_0.01_laL_0.01_.slha.py 3.108 0.07943 420.0 2324.228 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.09103 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.09103 0.0 0.0 0.09103 TSmuSmuDisp IDM_mhc_800_mn1_1.2589e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.2595 1.258e-05 800.0 0.1006 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 45.604 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 25.216 0.0 0.0 45.607 TSmuSmuDisp IDM_mhc_240_mn1_1e-06_dm_5_la2_0.01_laL_0.01_.slha.py 33.004 1e-06 240.0 0.09177 1[N1,mu-]
Non-excluded CMS-EXO-13-006 14.726 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 3.679 0.0 1.343 7.953 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_320_mn1_0.00012589_dm_5_la2_0.01_laL_0.01_.slha.py 0.6714 0.0001258 320.0 6.406 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 35.658 "[[],[[jet,jet]]]  (HSCP,HSCP)" 18.359 0.0 26.445 31.119 THSCPM1b,THSCPM8 IDM_mhc_220_mn1_0.00019952_dm_5_la2_0.01_laL_0.01_.slha.py 14.145 0.0001995 220.0 21.876 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.07655 0.0 0.07655 0.07655 THSCPM1b IDM_mhc_820_mn1_0.050118_dm_5_la2_0.01_laL_0.01_.slha.py 0.1754 0.05011 820.0 381.676 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.08613 0.0 0.08613 0.08613 THSCPM1b IDM_mhc_800_mn1_0.031622_dm_5_la2_0.01_laL_0.01_.slha.py 0.1896 0.03162 800.0 252.983 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 5.853 "[[],[[jet,jet]]]  (HSCP,HSCP)" 32.115 0.02325 46.261 46.297 THSCPM1b,THSCPM8 IDM_mhc_220_mn1_0.0015848_dm_5_la2_0.01_laL_0.01_.slha.py 30.753 0.001584 220.0 173.093 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 6.519 0.0 9.383 9.383 THSCPM1b,THSCPM8 IDM_mhc_340_mn1_0.79432_dm_5_la2_0.01_laL_0.01_.slha.py 7.378 0.7943 340.0 35682.995 1[N1,mu-]
Non-excluded CMS-PAS-EXO-16-036 0.09135 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.02285 0.0 0.02265 0.04551 THSCPM1b IDM_mhc_800_mn1_0.0012589_dm_5_la2_0.01_laL_0.01_.slha.py 0.02202 0.001258 800.0 10.067 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.04471 "[[],[[jet,jet]]]  (HSCP,HSCP)" 8.261 0.0 11.893 11.893 THSCPM1b,THSCPM8 IDM_mhc_320_mn1_0.03981_dm_5_la2_0.01_laL_0.01_.slha.py 9.124 0.03981 320.0 2023.866 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 4.764 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 2.702 0.0 0.0 4.764 TSmuSmuDisp IDM_mhc_420_mn1_1.5848e-05_dm_5_la2_0.01_laL_0.01_.slha.py 2.833 1.584e-05 420.0 0.4642 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.04588 0.0 0.04588 0.04588 THSCPM1b IDM_mhc_900_mn1_0.12589_dm_5_la2_0.01_laL_0.01_.slha.py 0.105 0.1258 900.0 795.673 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.01778 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_940_mn1_0.0001_dm_5_la2_0.01_laL_0.01_.slha.py 1.828e-09 0.0001 940.0 0.5786 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.436 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.327 0.0 0.0 0.436 TSmuSmuDisp IDM_mhc_660_mn1_2.5118e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.5207 2.511e-05 660.0 0.2953 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.1583 0.0 0.2055 0.2055 THSCPM1b IDM_mhc_740_mn1_0.19952_dm_5_la2_0.01_laL_0.01_.slha.py 0.2813 0.1995 740.0 1861.575 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.8337 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.527 0.0 0.0 0.8337 TSmuSmuDisp IDM_mhc_600_mn1_5.0118e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.5138 5.011e-05 600.0 0.7149 1[N1,mu-]
Excluded CMS-EXO-13-006 14.867 "[[],[[jet,jet]]]  (HSCP,HSCP)" 541.767 0.008827 781.66 781.66 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_100_mn1_0.0019952_dm_5_la2_0.01_laL_0.01_.slha.py 43.897 0.001995 100.0 1147.249 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 63.975 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 32.026 0.0 0.03875 58.009 TSmuSmuDisp IDM_mhc_220_mn1_1.9952e-05_dm_5_la2_0.01_laL_0.01_.slha.py 5.749 1.995e-05 220.0 2.187 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.2795 0.0 0.373 0.373 THSCPM1b IDM_mhc_680_mn1_0.3981_dm_5_la2_0.01_laL_0.01_.slha.py 0.4058 0.3981 680.0 4414.473 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.8714 0.0 1.253 1.253 THSCPM1b IDM_mhc_540_mn1_0.25118_dm_5_la2_0.01_laL_0.01_.slha.py 1.085 0.2511 540.0 4424.371 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.0132 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_960_mn1_0.00050118_dm_5_la2_0.01_laL_0.01_.slha.py 0.0002841 0.0005011 960.0 2.779 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.2625 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.2076 0.0 0.0 0.2625 TSmuSmuDisp IDM_mhc_720_mn1_1.2589e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.4201 1.258e-05 720.0 0.1241 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 324.35 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 145.737 0.0 1.741 266.394 TSmuSmuDisp IDM_mhc_140_mn1_1e-05_dm_5_la2_0.01_laL_0.01_.slha.py 2.162 1e-05 140.0 2.818 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 1.213 "[[],[[jet,jet]]]  (HSCP,HSCP)" 71.3 0.0 102.745 102.745 THSCPM1b,THSCPM8 IDM_mhc_180_mn1_0.01_dm_5_la2_0.01_laL_0.01_.slha.py 52.327 0.01 180.0 1658.209 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 1.494 0.0 2.15 2.15 THSCPM1b,THSCPM8 IDM_mhc_480_mn1_0.12589_dm_5_la2_0.01_laL_0.01_.slha.py 1.905 0.1258 480.0 2810.925 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 1.15 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.6323 0.0 0.9095 1.039 THSCPM1b,THSCPM8 IDM_mhc_500_mn1_0.001_dm_5_la2_0.01_laL_0.01_.slha.py 0.5307 0.001 500.0 20.576 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.4125 "[[],[[jet,jet]]]  (HSCP,HSCP)" 6.27 0.0 9.025 9.025 THSCPM1b,THSCPM8 IDM_mhc_340_mn1_0.0079432_dm_5_la2_0.01_laL_0.01_.slha.py 7.027 0.007943 340.0 356.829 1[N1,mu-]
Non-excluded CMS-PAS-EXO-16-036 0.2931 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.1121 0.0 0.02892 0.1705 THSCPM1b IDM_mhc_680_mn1_0.00063095_dm_5_la2_0.01_laL_0.01_.slha.py 0.02731 0.0006309 680.0 6.997 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 1.404 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.8742 0.0 0.0 1.404 TSmuSmuDisp IDM_mhc_540_mn1_3.1622e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.9525 3.162e-05 540.0 0.5574 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 2.23 "[[],[[jet,jet]]]  (HSCP,HSCP)" 33.711 0.0 48.559 48.559 THSCPM1b,THSCPM8 IDM_mhc_220_mn1_0.003981_dm_5_la2_0.01_laL_0.01_.slha.py 33.684 0.003981 220.0 436.564 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 7.375 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 4.129 0.0 0.0 7.375 TSmuSmuDisp IDM_mhc_380_mn1_1e-05_dm_5_la2_0.01_laL_0.01_.slha.py 4.619 1e-05 380.0 0.3581 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.05269 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.05269 0.0 0.0 0.05269 THSCPM1b,THSCPM2b,THSCPM9 IDM_mhc_880_mn1_0.00019952_dm_5_la2_0.01_laL_0.01_.slha.py 7.911e-06 0.0001995 880.0 1.315 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.01374 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_980_mn1_0.00012589_dm_5_la2_0.01_laL_0.01_.slha.py 3.464e-08 0.0001258 980.0 0.6711 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.106 0.0 0.1424 0.1424 THSCPM1b IDM_mhc_760_mn1_0.012589_dm_5_la2_0.01_laL_0.01_.slha.py 0.1992 0.01258 760.0 111.484 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.2401 0.0 0.3035 0.3035 THSCPM1b IDM_mhc_700_mn1_0.3981_dm_5_la2_0.01_laL_0.01_.slha.py 0.3575 0.3981 700.0 4163.016 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 7.274 "[[],[[jet,jet]]]  (HSCP,HSCP)" 7.325 0.0 10.545 11.047 THSCPM1b,THSCPM8 IDM_mhc_300_mn1_0.00063095_dm_5_la2_0.01_laL_0.01_.slha.py 6.609 0.0006309 300.0 36.609 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 0.9836 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.6217 0.0 0.0 0.9836 TSmuSmuDisp IDM_mhc_580_mn1_6.3095e-06_dm_5_la2_0.01_laL_0.01_.slha.py 1.315 6.309e-06 580.0 0.09625 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 1.253 "[[],[[jet,jet]]]  (HSCP,HSCP)" 1.15 0.0 1.655 1.731 THSCPM1b,THSCPM8 IDM_mhc_460_mn1_0.0012589_dm_5_la2_0.01_laL_0.01_.slha.py 1.141 0.001258 460.0 30.64 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 1.027 0.0 1.477 1.477 THSCPM1b IDM_mhc_520_mn1_0.050118_dm_5_la2_0.01_laL_0.01_.slha.py 1.207 0.05011 520.0 953.27 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.01078 "[[],[[jet,jet]]]  (HSCP,HSCP)" 1.222 0.0 1.757 1.757 THSCPM1b,THSCPM8 IDM_mhc_500_mn1_0.031622_dm_5_la2_0.01_laL_0.01_.slha.py 1.412 0.03162 500.0 651.244 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 33.697 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 18.644 0.0 0.0 33.697 TSmuSmuDisp IDM_mhc_260_mn1_7.9432e-06_dm_5_la2_0.01_laL_0.01_.slha.py 13.353 7.943e-06 260.0 0.6166 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.1029 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.4333 0.0 0.613 0.613 THSCPM1b IDM_mhc_600_mn1_0.0050118_dm_5_la2_0.01_laL_0.01_.slha.py 0.5553 0.005011 600.0 71.495 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.02115 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.02115 0.02027 0.0 0.02115 THSCPM1b,THSCPM2b,THSCPM9 IDM_mhc_920_mn1_1e-05_dm_5_la2_0.01_laL_0.01_.slha.py 1.332e-09 1e-05 920.0 0.06034 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.01374 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_980_mn1_3.981e-05_dm_5_la2_0.01_laL_0.01_.slha.py 9.996e-10 3.981e-05 980.0 0.2119 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.07768 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.1326 0.0 0.1677 0.1677 THSCPM1b IDM_mhc_720_mn1_0.0031622_dm_5_la2_0.01_laL_0.01_.slha.py 0.1546 0.003162 720.0 31.222 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 7.352 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 3.963 0.0 0.0 7.079 TSmuSmuDisp IDM_mhc_380_mn1_5.0118e-05_dm_5_la2_0.01_laL_0.01_.slha.py 1.154 5.011e-05 380.0 1.793 1[N1,mu-]
Non-excluded CMS-SUS-17-009 0.0467 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.0467 0.0 0.0 0.0467 TSlepSlep IDM_mhc_900_mn1_6.3095e-05_dm_5_la2_0.01_laL_0.01_.slha.py 5.96e-08 6.309e-05 900.0 0.3986 1[N1,mu-]
Non-excluded CMS-EXO-13-006 47.236 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 18.354 0.0 0.783 33.98 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_240_mn1_3.981e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.8033 3.981e-05 240.0 3.647 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 14.988 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 8.319 0.0 0.0 14.988 TSmuSmuDisp IDM_mhc_320_mn1_1e-05_dm_5_la2_0.01_laL_0.01_.slha.py 7.059 1e-05 320.0 0.5085 1[N1,mu-]
Non-excluded CMS-EXO-13-006 4.628 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 1.318 0.0 0.347 2.671 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_420_mn1_0.00019952_dm_5_la2_0.01_laL_0.01_.slha.py 0.4346 0.0001995 420.0 5.838 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 1.622 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.9336 0.0 0.0 1.501 TSmuSmuDisp IDM_mhc_520_mn1_0.00012589_dm_5_la2_0.01_laL_0.01_.slha.py 0.1902 0.0001258 520.0 2.394 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.4179 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.3484 0.0 0.4929 0.5223 THSCPM1b IDM_mhc_580_mn1_0.0015848_dm_5_la2_0.01_laL_0.01_.slha.py 0.3418 0.001584 580.0 24.182 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 25.365 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 14.047 0.0 0.0 25.367 TSmuSmuDisp IDM_mhc_280_mn1_1.2589e-06_dm_5_la2_0.01_laL_0.01_.slha.py 21.886 1.258e-06 280.0 0.08396 1[N1,mu-]
Non-excluded CMS-PAS-EXO-16-036 0.1257 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.03583 0.0 0.02476 0.06059 THSCPM1b IDM_mhc_760_mn1_0.001_dm_5_la2_0.01_laL_0.01_.slha.py 0.02419 0.001 760.0 8.848 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.05933 0.0 0.05933 0.05933 THSCPM1b IDM_mhc_820_mn1_0.0063095_dm_5_la2_0.01_laL_0.01_.slha.py 0.1133 0.006309 820.0 48.011 1[N1,mu-]
Non-excluded CMS-EXO-13-006 0.7459 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.3885 0.0 0.0 0.5982 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_600_mn1_0.00025118_dm_5_la2_0.01_laL_0.01_.slha.py 0.02107 0.0002511 600.0 3.581 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.1042 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.1045 0.0 0.0 0.1045 TSmuSmuDisp IDM_mhc_780_mn1_1.9952e-06_dm_5_la2_0.01_laL_0.01_.slha.py 0.2728 1.995e-06 780.0 0.01672 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.06377 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.05387 0.0 0.05387 0.05387 THSCPM1b IDM_mhc_780_mn1_0.0025118_dm_5_la2_0.01_laL_0.01_.slha.py 0.07365 0.002511 780.0 21.127 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.1373 0.0 0.1782 0.1782 THSCPM1b IDM_mhc_740_mn1_0.01_dm_5_la2_0.01_laL_0.01_.slha.py 0.2204 0.01 740.0 93.519 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.05182 0.0 0.05182 0.05182 THSCPM1b IDM_mhc_880_mn1_0.079432_dm_5_la2_0.01_laL_0.01_.slha.py 0.1155 0.07943 880.0 524.805 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.06072 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.06072 0.0 0.0 0.06072 TSmuSmuDisp IDM_mhc_860_mn1_0.0001_dm_5_la2_0.01_laL_0.01_.slha.py 0.09325 0.0001 860.0 0.6923 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.0 0.0 0.0 THSCPM1b IDM_mhc_940_mn1_0.50118_dm_5_la2_0.01_laL_0.01_.slha.py 0.04002 0.5011 940.0 2901.867 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.05881 0.0 0.05881 0.05881 THSCPM1b IDM_mhc_860_mn1_0.063095_dm_5_la2_0.01_laL_0.01_.slha.py 0.1302 0.06309 860.0 436.564 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 17.498 "[[],[[jet,jet]]]  (HSCP,HSCP)" 10.549 0.0 15.191 17.182 THSCPM1b,THSCPM8 IDM_mhc_260_mn1_0.00031622_dm_5_la2_0.01_laL_0.01_.slha.py 8.643 0.0003162 260.0 24.573 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.5663 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.4161 0.0 0.0 0.5537 TSmuSmuDisp IDM_mhc_620_mn1_0.00015848_dm_5_la2_0.01_laL_0.01_.slha.py 0.1236 0.0001584 620.0 2.114 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 130.354 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 71.902 0.0 0.0 130.355 TSmuSmuDisp IDM_mhc_180_mn1_1.5848e-06_dm_5_la2_0.01_laL_0.01_.slha.py 41.28 1.584e-06 180.0 0.2638 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.02114 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.02115 0.02027 0.0 0.02115 THSCPM1b,THSCPM2b,THSCPM9 IDM_mhc_920_mn1_6.3095e-06_dm_5_la2_0.01_laL_0.01_.slha.py 1.347e-09 6.309e-06 920.0 0.03809 1[N1,mu-]
Excluded CMS-EXO-13-006 43.997 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 9.62 0.0 5.308 22.701 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_240_mn1_7.9432e-05_dm_5_la2_0.01_laL_0.01_.slha.py 2.46 7.943e-05 240.0 7.281 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 5.871 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 3.329 0.0 0.0 5.872 TSmuSmuDisp IDM_mhc_400_mn1_1.5848e-06_dm_5_la2_0.01_laL_0.01_.slha.py 7.063 1.584e-06 400.0 0.05125 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.726 0.0 1.026 1.026 THSCPM1b IDM_mhc_560_mn1_0.063095_dm_5_la2_0.01_laL_0.01_.slha.py 1.02 0.06309 560.0 1033.125 1[N1,mu-]
