SModelS_status Analysis Disp MT_displaced_xsec Tx Tx_weights file r_max theory_pred MASS9000006 MASS37 ctau(37) BR(37)
Excluded ATLAS-SUSY-2016-32 0.0 1.53 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 9.717757396818454, 'THSCPM11': 13.946570700837725, 'THSCPM8': 2.222336063077581}" IDM_mhc_280_mn1_0.0031622_dm_50_la2_0.01_laL_0.01_.slha.py 25.886 2.3298 0.003162 280.0 211.044 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.1006 THSCPM11,THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 "{'THSCPM1b': 6.168739664400596e-05, 'THSCPM11': 0.00025015637807479475, 'THSCPM8': 1.2387266357443414e-05, 'THSCPM2b': 9.019897672888206e-08, 'THSCPM9': 2.6902694319392567e-08}" IDM_mhc_880_mn1_0.00025118_dm_50_la2_0.01_laL_0.01_.slha.py 0.0003243 3.243481e-05 0.0002511 880.0 1.658 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.02838 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 5.3301001873044624, 'THSCPM11': 8.72351684719105, 'THSCPM8': 1.2400485814008482}" IDM_mhc_340_mn1_0.12589_dm_50_la2_0.01_laL_0.01_.slha.py 15.293 1.37643 0.1258 340.0 5654.067 1[9000006,11]
Non-excluded CMS-SUS-17-009 1.761 1.241 TSelSel "{'TSelSel': 2.213653538810452e-06}" IDM_mhc_540_mn1_1.2589e-05_dm_50_la2_0.01_laL_0.01_.slha.py 2.213e-06 0.379103 1.258e-05 540.0 0.2217 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.4536 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 23.942131903914404, 'THSCPM11': 28.418969038966093, 'THSCPM8': 5.197267652636214}" IDM_mhc_220_mn1_0.015848_dm_50_la2_0.01_laL_0.01_.slha.py 57.558 5.180253 0.01584 220.0 1730.938 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.001417 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 1.0712348971020687, 'THSCPM11': 2.332848459940869, 'THSCPM8': 0.25387628478143054}" IDM_mhc_520_mn1_1.0_dm_50_la2_0.01_laL_0.01_.slha.py 3.657 0.2926368 1.0 520.0 18973.746 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.09156 THSCPM11,THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 "{'THSCPM1b': 0.0022275170653184126, 'THSCPM11': 0.006053096751876481, 'THSCPM8': 0.0005044128499885886, 'THSCPM2b': 1.1352046029524916e-06, 'THSCPM9': 3.5769671812834485e-07}" IDM_mhc_900_mn1_0.00079432_dm_50_la2_0.01_laL_0.01_.slha.py 0.008786 0.000878652 0.0007943 900.0 5.021 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.02835 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.3313007125134124, 'THSCPM11': 0.806387382281143, 'THSCPM8': 0.07200198549052836}" IDM_mhc_660_mn1_0.025118_dm_50_la2_0.01_laL_0.01_.slha.py 1.209 0.09677521 0.02511 660.0 295.399 1[9000006,11]
Excluded CMS-EXO-13-006 0.0 8.357 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 "{'THSCPM1b': 20.73947837801152, 'THSCPM8': 6.745184697374318, 'THSCPM2b': 3.80681254258551e-05, 'THSCPM9': 2.9476439176601245e-05}" IDM_mhc_100_mn1_0.0019952_dm_50_la2_0.01_laL_0.01_.slha.py 27.484 28.03443 0.001995 100.0 1147.249 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.0159 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 6.652321361314803, 'THSCPM11': 10.523902551501994, 'THSCPM8': 1.6100543715555447}" IDM_mhc_320_mn1_0.25118_dm_50_la2_0.01_laL_0.01_.slha.py 18.786 1.690765 0.2511 320.0 12730.771 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.007265 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.07337975304746974, 'THSCPM11': 0.20973456009793254, 'THSCPM8': 0.015786506204359677}" IDM_mhc_860_mn1_0.03981_dm_50_la2_0.01_laL_0.01_.slha.py 0.2989 0.02391207 0.03981 860.0 275.211 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.003692 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.07469515850677232, 'THSCPM11': 0.21908054516240233, 'THSCPM8': 0.016403876957578407}" IDM_mhc_860_mn1_0.079432_dm_50_la2_0.01_laL_0.01_.slha.py 0.3101 0.02481437 0.07943 860.0 549.657 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.1205 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 1.1896262044101211, 'THSCPM11': 2.4693121718343747, 'THSCPM8': 0.2671495067263263}" IDM_mhc_500_mn1_0.012589_dm_50_la2_0.01_laL_0.01_.slha.py 3.926 0.314087 0.01258 500.0 258.959 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.06749 THSCPM11,THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 "{'THSCPM11': 1.5639437070351883e-06, 'THSCPM1b': 8.746864852553212e-08, 'THSCPM8': 1.502593322032906e-08, 'THSCPM2b': 2.9333378472771584e-10, 'THSCPM9': 7.240162210556109e-11}" IDM_mhc_940_mn1_0.00012589_dm_50_la2_0.01_laL_0.01_.slha.py 1.666e-06 1.666804e-07 0.0001258 940.0 0.7281 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.04896 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 "{'THSCPM1b': 2.6316687395785393e-10, 'THSCPM2b': 5.713368389822892e-10, 'THSCPM8': 2.967866771836961e-10, 'THSCPM9': 1.183924261335089e-10}" IDM_mhc_960_mn1_1.2589e-06_dm_50_la2_0.01_laL_0.01_.slha.py 1.249e-09 9.997463e-11 1.258e-06 960.0 0.006972 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.01902 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 1.7861516349278295, 'THSCPM11': 3.6173772842692977, 'THSCPM8': 0.42538217034072406}" IDM_mhc_460_mn1_0.1_dm_50_la2_0.01_laL_0.01_.slha.py 5.828 0.4663129 0.1 460.0 2436.135 1[9000006,11]
Non-excluded CMS-SUS-17-009 0.4339 0.1716 TSelSel "{'TSelSel': 1.5544810621970504e-05}" IDM_mhc_800_mn1_3.981e-06_dm_50_la2_0.01_laL_0.01_.slha.py 1.554e-05 0.04999993 3.981e-06 800.0 0.03182 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.08476 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.27660914533287095, 'THSCPM11': 0.6952648620973316, 'THSCPM8': 0.05877441197401283}" IDM_mhc_660_mn1_0.0079432_dm_50_la2_0.01_laL_0.01_.slha.py 1.03 0.08245187 0.007943 660.0 93.519 1[9000006,11]
Non-excluded CMS-SUS-17-009 0.1702 0.09986 TSelSel "{'TSelSel': 3.6601129789513026e-07}" IDM_mhc_880_mn1_2.5118e-05_dm_50_la2_0.01_laL_0.01_.slha.py 3.66e-07 0.02889825 2.511e-05 880.0 0.1658 1[9000006,11]
